"participant_id";"entry_no";"top_tracks_isrc";"top_tracks_title";"top_tracks_spotify_id";"top_tracks_artist";"top_tracks_cover";"top_tracks_label";"top_tracks_album_name";"top_tracks_release_date";"top_tracks_album_type";"top_tracks_duration_ms";"top_tracks_popularity";"top_tracks_acousticness";"top_tracks_danceability";"top_tracks_energy";"top_tracks_key";"top_tracks_loudness";"top_tracks_speechiness";"top_tracks_instrumentalness";"top_tracks_liveness";"top_tracks_valence";"top_tracks_tempo";"last_tracks_played_at";"last_tracks_context_type";"last_tracks_context_uri";"top_artists_type";"top_artists_popularity";"top_artists_followers";"top_artists_genres";"top_artists_cover";"top_artists_name";"top_artists_spotify_id"
"56";"14";"DEUM72207737";"Instabil";"287EfmsRlLBJWpdMc0gKVH";"PANTHA";"https://i.scdn.co/image/ab67616d0000b27351b9b68487102b6de80ccc70";"Polydor";"Instabil";"2022-11-25";"SINGLE";"154976";"33";"0.24";"0.834";"0.486";"9";"-6.762";"0.0647";"0";"0.154";"0.655";"125.99";"";"";"";"artist";"51";"0";"deep euro house, french tech house, minimal melodic techno, new french touch";"https://i.scdn.co/image/ab6761610000e5eb83f5f17c3828e7deadf511bc";"Joachim Pastor";"6eNOjuJSfKkAvbiGW90AkZ"
"56";"15";"USAR10200223";"Complicated";"5xEM5hIgJ1jjgcEBfpkt2F";"Avril Lavigne";"https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240";"Arista";"Let Go";"2002-06-04";"ALBUM";"244506";"82";"0.0572";"0.585";"0.776";"5";"-5.898";"0.0459";"0.00000774";"0.3";"0.427";"77.987";"";"";"";"artist";"48";"0";"german pop, german singer-songwriter";"https://i.scdn.co/image/ab6761610000e5eb284ce24724787f71493fe464";"Annett Louisan";"0kcGSitPHYyZ9B7bP7wJo8"
"56";"16";"DEG442291190";"Goldregen";"5PLZzzbqth9Vp1ysyeai6O";"SATARII,Ambigo";"https://i.scdn.co/image/ab67616d0000b2732ae6b4a57d73e682ae5c60ca";"365XX";"Goldregen";"2023-01-13";"SINGLE";"167636";"19";"0.335";"0.78";"0.561";"8";"-11.042";"0.472";"0.0000335";"0.082";"0.401";"76.017";"";"";"";"artist";"36";"0";"hip-hop experimental";"https://i.scdn.co/image/ab6761610000e5ebb6cf0b4a5f1914c4b2747517";"Hugo Kant";"2jvKLLBED6JvKWtT8y3kCu"
"56";"17";"DECE72102421";"„Hahaha“";"7KOG60S6d4eiiOVdSMy6qe";"badmómzjay";"https://i.scdn.co/image/ab67616d0000b273671ec593c527c96eb6ad7e93";"Vertigo Berlin";"badmómz.";"2021-11-25";"ALBUM";"127088";"42";"0.0253";"0.902";"0.53";"8";"-6.714";"0.395";"0.0000148";"0.118";"0.402";"123.012";"";"";"";"artist";"19";"0";"german alternative rap";"https://i.scdn.co/image/ab6761610000e5ebc12988dfa881ed7ec0e1f375";"Vandalismus";"3R9xnI0yE3KBtPJjyYE8Vn"
"56";"18";"DEZC62292778";"Teufelsküche";"3wNiOrjxhQsJFQSRS0UV6b";"Rokko Weissensee";"https://i.scdn.co/image/ab67616d0000b2736b7cb11a54bbe4f3f75693ff";"recordJet";"Was dich umbringt, tötet dich";"2022-10-07";"ALBUM";"199365";"25";"0.472";"0.515";"0.56";"1";"-10.234";"0.592";"0.0000145";"0.354";"0.239";"127.898";"";"";"";"artist";"63";"0";"new romantic, new wave pop, synthpop";"https://i.scdn.co/image/ab6761610000e5eb8f3885f5f68dcf1d5adbe190";"Alphaville";"0xliTEbFfy5HQHvsTknTkX"
"56";"19";"DECE72102300";"badmómz.";"4ZTK3Zsw7cawBxEWgO0GTr";"badmómzjay";"https://i.scdn.co/image/ab67616d0000b273671ec593c527c96eb6ad7e93";"Vertigo Berlin";"badmómz.";"2021-11-25";"ALBUM";"123802";"46";"0.2";"0.824";"0.522";"0";"-8.17";"0.374";"0";"0.0693";"0.342";"132.022";"";"";"";"artist";"54";"0";"german alternative rap, german hip hop";"https://i.scdn.co/image/ab6761610000e5eb6145afef1b75a9234e109013";"OG Keemo";"4gJT0OnBISFA5CPMNYBGIE"
"56";"20";"DEUM72201209";"Männer lol";"2MNONf35nhHpcv7gtZBVs3";"futurebae";"https://i.scdn.co/image/ab67616d0000b2731956f3a2cc1ae7b8a8a9662b";"Virgin Music Label And Artist Services";"Männer lol";"2022-03-08";"SINGLE";"104347";"37";"0.26";"0.861";"0.579";"8";"-10.966";"0.562";"0";"0.0969";"0.671";"160.85";"";"";"";"artist";"39";"0";"antideutsche, german alternative rap";"https://i.scdn.co/image/ab6761610000e5eb6629c2e7ae56ced62df2010d";"Waving The Guns";"1b6KZ6XeJLiFJkFghmkbe8"
"56";"21";"DECE72102426";"Zimmer allein";"0qVbxX1jRpps266TsXzxLX";"badmómzjay";"https://i.scdn.co/image/ab67616d0000b273671ec593c527c96eb6ad7e93";"Vertigo Berlin";"badmómz.";"2021-11-25";"ALBUM";"151314";"53";"0.0659";"0.7";"0.497";"11";"-9.051";"0.232";"0.00000319";"0.127";"0.487";"115.938";"";"";"";"artist";"23";"0";"german boom bap";"https://i.scdn.co/image/ab6761610000e5eb804ec306d0d4c84bfe340b39";"T9";"07dytEGfTbFVpAu9J7XY3r"
"56";"22";"DE1FI2200784";"رحله";"6o7OFXE0sxzp9ZPm2zopUw";"MC Sindbad,Lakmann,L One";"https://i.scdn.co/image/ab67616d0000b27302ec7682663af74467d05106";"MC Sindbad";"رحله";"2023-01-06";"SINGLE";"174617";"21";"0.397";"0.659";"0.592";"2";"-8.235";"0.217";"0.000051";"0.139";"0.226";"83.05";"";"";"";"artist";"55";"0";"folk-pop";"https://i.scdn.co/image/ab6761610000e5ebee718af93308cc3503c2bd24";"Pomplamoose";"5dHfLBNU8zoypgKefzEB1c"
"56";"23";"DEE862201008";"Wildberry Lillet";"6yeZM8gyykjaf8w0GqRfK4";"Nina Chuba";"https://i.scdn.co/image/ab67616d0000b2733cc178bf7d4916c51d57a5e9";"Jive";"Wildberry Lillet";"2022-08-12";"SINGLE";"132000";"71";"0.078";"0.89";"0.521";"6";"-7.048";"0.169";"0";"0.0958";"0.646";"139.981";"";"";"";"artist";"72";"0";"arkansas country, outlaw country, rock";"https://i.scdn.co/image/ab6761610000e5eb152cf48cf9541c7061570857";"Johnny Cash";"6kACVPfCOnqzgfEF5ryl0x"
